HIP id,Vmag,RA (deg),Dec (deg),Par(mas),(B-V),Sp class,,
6177,8.69,19.81170328,-43.62925166,31.1,0.88,K1/K2V,,
9629,8.69,30.94046614,-40.46919597,22.16,0.72,G8V,,
616,8.7,1.88473813,-23.8189432,30.76,0.8,K0V,,
5647,8.71,18.13099835,0.98162503,31.12,0.93,K0,,
3418,8.73,10.88750898,33.8454328,48.16,1.13,K8,,
1837,8.74,5.81659898,-33.1678323,44.97,1.08,K3/K4V,,
1113,8.76,3.47011668,-74.68817231,22.86,0.74,G6V,,
6390,8.76,20.53188179,-26.89255267,32.13,0.97,K2V,,
7396,8.77,23.83701944,-21.20091563,28.63,0.78,K0V,,
1294,8.79,4.04772248,30.53248386,23.91,0.96,K2,,
5462,8.8,17.48587624,-64.35923278,20.21,0.67,G5V,,
7426,8.83,23.91976291,-65.29353386,20.46,0.76,G6V,,
5224,8.84,16.69573127,-50.98947181,33.98,0.93,K1V,,
8768,8.89,28.20266288,-22.43485464,90.17,1.42,K5/M0V,,
8275,8.91,26.66124423,12.41195514,43.37,1.04,K5,,
9400,8.93,30.19770613,-80.53236809,24.32,0.8,K1V,,
4022,8.95,12.89013153,-22.90939545,65.81,1.29,K5V,,
8701,8.95,27.99004932,-81.01945276,32.38,0.89,K1V,,
8346,8.98,26.91014516,-26.74935383,25.79,0.8,K0V,,
1368,8.99,4.27473316,40.94809407,66.71,1.37,M0,,
5247,9,16.77560068,63.94055066,66.46,1.29,K7V,,
9553,9.02,30.68711919,-40.95072149,31.79,1.02,K2V,,
